given,query,expected_answer,model_answer,is_correct,reason
John Landis is right of Alastair Duncan.,Where is John Landis?,right of Alastair Duncan,Right of Alastair Duncan.,True
Hyun Bin is behind Julie Newmar.,Where is Hyun Bin?,behind Julie Newmar,Behind Julie Newmar.,True
Nicholas Burns is left of Forrie J. Smith.,Where is Nicholas Burns?,left of Forrie J. Smith,Left of Forrie J. Smith.,True
Jalmari Helander is below Joseph Baena.,Where is Jalmari Helander?,below Joseph Baena,Below Joseph Baena.,True
Carel Struycken is in front of Nicholle Tom.,Where is Carel Struycken?,in front of Nicholle Tom,In front of Nicholle Tom.,True
Martin Short is right of Mackenzie Crook.,Where is Martin Short?,right of Mackenzie Crook,Right of Mackenzie Crook.,True
Ali Larter is left of Marie Hacke.,Where is Ali Larter?,left of Marie Hacke,Left of Marie Hacke.,True
Andy Daly is underneath Robert Montgomery.,Where is Andy Daly?,underneath Robert Montgomery,Underneath Robert Montgomery.,True
Angel Parker is right of Rory Culkin.,Where is Angel Parker?,right of Rory Culkin,Right of Rory Culkin.,True
Francesca Annis is on top of Robert Young.,Where is Francesca Annis?,on top of Robert Young,On top of Robert Young.,True
Idina Menzel is in front of Philip Michael Thomas.,Where is Idina Menzel?,in front of Philip Michael Thomas,In front of Philip Michael Thomas.,True
David Duchovny is left of Maribeth Monroe.,Where is David Duchovny?,left of Maribeth Monroe,Left of Maribeth Monroe.,True
Sarah Michelle Gellar is in front of Paul McCrane.,Where is Sarah Michelle Gellar?,in front of Paul McCrane,In front of Paul McCrane.,True
Omid Abtahi is behind Chris Gauthier.,Where is Omid Abtahi?,behind Chris Gauthier,Behind Chris Gauthier.,True
Giselle Eisenberg is above Holly Robinson Peete.,Where is Giselle Eisenberg?,above Holly Robinson Peete,Above Holly Robinson Peete.,True
Chrishell Stause is underneath Zyra Gorecki.,Where is Chrishell Stause?,underneath Zyra Gorecki,Underneath Zyra Gorecki.,True
Jud Tylor is above Amy Carlson.,Where is Jud Tylor?,above Amy Carlson,Above Amy Carlson.,True
S. Craig Zahler is on top of Hugo Speer.,Where is S. Craig Zahler?,on top of Hugo Speer,On top of Hugo Speer.,True
Jerry Trainor is left of Rob Paulsen.,Where is Jerry Trainor?,left of Rob Paulsen,Left of Rob Paulsen.,True
Ellen Barkin is left of Mekki Leeper.,Where is Ellen Barkin?,left of Mekki Leeper,Left of Mekki Leeper.,True
Steve Guttenberg is behind Hans Zimmer.,Where is Steve Guttenberg?,behind Hans Zimmer,Behind Hans Zimmer.,True
Bruce Dern is right of Mariami Kovziashvili.,Where is Bruce Dern?,right of Mariami Kovziashvili,Right of Mariami Kovziashvili.,True
Frankie Shaw is in front of Chuck Aspegren.,Where is Frankie Shaw?,in front of Chuck Aspegren,In front of Chuck Aspegren.,True
Joon-ho Huh is underneath Joe LoCicero.,Where is Joon-ho Huh?,underneath Joe LoCicero,Underneath Joe LoCicero.,True
Brooke Shields is on top of Juel Taylor.,Where is Brooke Shields?,on top of Juel Taylor,On top of Juel Taylor.,True
Eric Bauza is in front of Jordan Fisher.,Where is Eric Bauza?,in front of Jordan Fisher,In front of Jordan Fisher.,True
Kurt Yaeger is above Tiana Upcheva.,Where is Kurt Yaeger?,above Tiana Upcheva,Above Tiana Upcheva.,True
Annabelle Wallis is behind Stephen Moyer.,Where is Annabelle Wallis?,behind Stephen Moyer,Behind Stephen Moyer.,True
Gregory Smith is behind Peter Farrelly.,Where is Gregory Smith?,behind Peter Farrelly,Behind Peter Farrelly.,True
Meagan Tandy is right of Shiloh Verrico.,Where is Meagan Tandy?,right of Shiloh Verrico,To the right of Shiloh Verrico.,True
Collette Wolfe is above Noah Gray-Cabey.,Where is Collette Wolfe?,above Noah Gray-Cabey,Above Noah Gray-Cabey.,True
Nicola Walker is underneath Stephanie Courtney.,Where is Nicola Walker?,underneath Stephanie Courtney,Underneath Stephanie Courtney.,True
Robin Thomas is on top of Sara Ramirez.,Where is Robin Thomas?,on top of Sara Ramirez,On top of Sara Ramirez.,True
Jaclyn Smith is on top of Neil Maskell.,Where is Jaclyn Smith?,on top of Neil Maskell,On top of Neil Maskell.,True
Lisa Rinna is above Ashley Williams.,Where is Lisa Rinna?,above Ashley Williams,Above Ashley Williams.,True
Robert F. Kennedy Jr. is in front of Daniel Portman.,Where is Robert F. Kennedy Jr.?,in front of Daniel Portman,In front of Daniel Portman.,True
Keri Russell is right of Andrew Koji.,Where is Keri Russell?,right of Andrew Koji,Right of Andrew Koji.,True
Cailey Fleming is underneath Angela Featherstone.,Where is Cailey Fleming?,underneath Angela Featherstone,Underneath Angela Featherstone.,True
Jonathan Banks is behind Dylan Sprouse.,Where is Jonathan Banks?,behind Dylan Sprouse,Behind Dylan Sprouse.,True
Renee Olstead is left of Jonathan Adams.,Where is Renee Olstead?,left of Jonathan Adams,Left of Jonathan Adams.,True
Dermot Mulroney is in front of Kate Hudson.,Where is Dermot Mulroney?,in front of Kate Hudson,In front of Kate Hudson.,True
Ridley Scott is below Paul Kaye.,Where is Ridley Scott?,below Paul Kaye,Below Paul Kaye.,True
Vincent Regan is left of Roan Curtis.,Where is Vincent Regan?,left of Roan Curtis,Left of Roan Curtis.,True
Janine Harouni is in front of Jerry Seinfeld.,Where is Janine Harouni?,in front of Jerry Seinfeld,In front of Jerry Seinfeld.,True
Pamela Anderson is in front of Amy Adams.,Where is Pamela Anderson?,in front of Amy Adams,In front of Amy Adams.,True
Priyanka Chopra Jonas is below Virginia Christine.,Where is Priyanka Chopra Jonas?,below Virginia Christine,Below Virginia Christine.,True
Boris Karloff is right of Susan Saint James.,Where is Boris Karloff?,right of Susan Saint James,Right of Susan Saint James.,True
Robert Preston is below Sterling K. Brown.,Where is Robert Preston?,below Sterling K. Brown,Below Sterling K. Brown.,True
Niecy Nash is behind Dick Sargent.,Where is Niecy Nash?,behind Dick Sargent,Behind Dick Sargent.,True
James Anderson is underneath Bonnie Aarons.,Where is James Anderson?,underneath Bonnie Aarons,Underneath Bonnie Aarons.,True
Bill Burr is left of Jesse Metcalfe.,Where is Bill Burr?,left of Jesse Metcalfe,Left of Jesse Metcalfe.,True
Michael Landon is right of Brian Geraghty.,Where is Michael Landon?,right of Brian Geraghty,Right of Brian Geraghty.,True
Kenneth Collard is behind Angela Bassett.,Where is Kenneth Collard?,behind Angela Bassett,Behind Angela Bassett.,True
Tom Noonan is left of Johnny Whitworth.,Where is Tom Noonan?,left of Johnny Whitworth,Left of Johnny Whitworth.,True
Suzanna Son is underneath Betsy Brandt.,Where is Suzanna Son?,underneath Betsy Brandt,Underneath Betsy Brandt.,True
Oliver Platt is above Yasiin Bey.,Where is Oliver Platt?,above Yasiin Bey,Above Yasiin Bey.,True
Regé-Jean Page is underneath Tuba Büyüküstün.,Where is Regé-Jean Page?,underneath Tuba Büyüküstün,Underneath Tuba Büyüküstün.,True
Seth Green is in front of Paul Bettany.,Where is Seth Green?,in front of Paul Bettany,In front of Paul Bettany.,True
Zoey Deutch is right of Trace Lysette.,Where is Zoey Deutch?,right of Trace Lysette,Right of Trace Lysette.,True
Chelcie Ross is on top of Ming-Na Wen.,Where is Chelcie Ross?,on top of Ming-Na Wen,On top of Ming-Na Wen.,True
Derek Theler is behind Jeremy Brett.,Where is Derek Theler?,behind Jeremy Brett,Behind Jeremy Brett.,True
Chai Hansen is above Sean Maguire.,Where is Chai Hansen?,above Sean Maguire,Above Sean Maguire.,True
Ayelet Zurer is underneath Jeremy Swift.,Where is Ayelet Zurer?,underneath Jeremy Swift,Underneath Jeremy Swift.,True
Tinatin Dalakishvili is left of Jami Gertz.,Where is Tinatin Dalakishvili?,left of Jami Gertz,Left of Jami Gertz.,True
Taylor Tomlinson is above Diana Silvers.,Where is Taylor Tomlinson?,above Diana Silvers,Above Diana Silvers.,True
Rob Zombie is left of Paul Walker.,Where is Rob Zombie?,left of Paul Walker,Left of Paul Walker.,True
Anna-Maria Sieklucka is behind Tate Donovan.,Where is Anna-Maria Sieklucka?,behind Tate Donovan,Behind Tate Donovan.,True
Frankie Faison is below Alisan Porter.,Where is Frankie Faison?,below Alisan Porter,Below Alisan Porter.,True
Joel McCrea is below Ricardo Montalban.,Where is Joel McCrea?,below Ricardo Montalban,Below Ricardo Montalban.,True
Alexis Denisof is below Sherry Jackson.,Where is Alexis Denisof?,below Sherry Jackson,Below Sherry Jackson.,True
Shonda Rhimes is in front of Robert Oberst.,Where is Shonda Rhimes?,in front of Robert Oberst,In front of Robert Oberst.,True
Rachel Hurd-Wood is in front of Charlie Brooker.,Where is Rachel Hurd-Wood?,in front of Charlie Brooker,In front of Charlie Brooker.,True
Derek Jacobi is behind Paul McCrane.,Where is Derek Jacobi?,behind Paul McCrane,Behind Paul McCrane.,True
Suri Cruise is below Levy Tran.,Where is Suri Cruise?,below Levy Tran,Below Levy Tran.,True
John Beasley is right of Heidi Klum.,Where is John Beasley?,right of Heidi Klum,Right of Heidi Klum.,True
Brenda Vaccaro is below Mike Reiss.,Where is Brenda Vaccaro?,below Mike Reiss,Below Mike Reiss.,True
Cooper Hoffman is right of James Fleet.,Where is Cooper Hoffman?,right of James Fleet,Right of James Fleet.,True
Gemma Chan is below Laz Alonso.,Where is Gemma Chan?,below Laz Alonso,Below Laz Alonso.,True
Wes Craven is above Emmanuelle Vaugier.,Where is Wes Craven?,above Emmanuelle Vaugier,Above Emmanuelle Vaugier.,True
Ron Eldard is in front of Zen Gesner.,Where is Ron Eldard?,in front of Zen Gesner,In front of Zen Gesner.,True
Nicole Andrews is left of Jacob Pechenik.,Where is Nicole Andrews?,left of Jacob Pechenik,Left of Jacob Pechenik.,True
Scarlett Pomers is right of Gwyneth Keyworth.,Where is Scarlett Pomers?,right of Gwyneth Keyworth,Right of Gwyneth Keyworth.,True
Jackie Hoffman is right of Elden Henson.,Where is Jackie Hoffman?,right of Elden Henson,Right of Elden Henson.,True
Brooke D'Orsay is underneath Hope Davis.,Where is Brooke D'Orsay?,underneath Hope Davis,Underneath Hope Davis.,True
Simonetta Stefanelli is below Veronica Ngo.,Where is Simonetta Stefanelli?,below Veronica Ngo,Below Veronica Ngo.,True
Michelle Randolph is on top of Robert Stack.,Where is Michelle Randolph?,on top of Robert Stack,On top of Robert Stack.,True
Briana Cuoco is in front of Frankie Faison.,Where is Briana Cuoco?,in front of Frankie Faison,In front of Frankie Faison.,True
James Gandolfini is in front of Sheree North.,Where is James Gandolfini?,in front of Sheree North,In front of Sheree North.,True
Yennis Cheung is above Valerie Bertinelli.,Where is Yennis Cheung?,above Valerie Bertinelli,Above Valerie Bertinelli.,True
Rob Huebel is in front of Angourie Rice.,Where is Rob Huebel?,in front of Angourie Rice,In front of Angourie Rice.,True
Rosalie Chiang is above Gavin McHugh.,Where is Rosalie Chiang?,above Gavin McHugh,Above Gavin McHugh.,True
Janet Montgomery is left of Rue McClanahan.,Where is Janet Montgomery?,left of Rue McClanahan,Left of Rue McClanahan.,True
Dee Bradley Baker is underneath Mekki Leeper.,Where is Dee Bradley Baker?,underneath Mekki Leeper,Underneath Mekki Leeper.,True
Christopher Judge is on top of Melia Kreiling.,Where is Christopher Judge?,on top of Melia Kreiling,On top of Melia Kreiling.,True
Misha Collins is above Gloria Stuart.,Where is Misha Collins?,above Gloria Stuart,Above Gloria Stuart.,True
Ella Faris is in front of Marie Windsor.,Where is Ella Faris?,in front of Marie Windsor,In front of Marie Windsor.,True
Nestor Carbonell is underneath Tyler Johnston.,Where is Nestor Carbonell?,underneath Tyler Johnston,Underneath Tyler Johnston.,True
Jon Bass is in front of Teresa Ganzel.,Where is Jon Bass?,in front of Teresa Ganzel,In front of Teresa Ganzel.,True
Bill Skarsgård is in front of Simon Pegg.,Where is Bill Skarsgård?,in front of Simon Pegg,In front of Simon Pegg.,True
Betsy Brantley is behind Yonas Kibreab.,Where is Betsy Brantley?,behind Yonas Kibreab,Behind Yonas Kibreab.,True
Katheryn Winnick is below Stephen Rea.,Where is Katheryn Winnick?,below Stephen Rea,Below Stephen Rea.,True
Jane Adams is above Charlie Hunnam.,Where is Jane Adams?,above Charlie Hunnam,Above Charlie Hunnam.,True
Kim Dickens is above Jennifer Holland.,Where is Kim Dickens?,above Jennifer Holland,Above Jennifer Holland.,True
Peter Gadiot is underneath Andrew McCarthy.,Where is Peter Gadiot?,underneath Andrew McCarthy,Underneath Andrew McCarthy.,True
Kathrine Narducci is on top of Joel Coen.,Where is Kathrine Narducci?,on top of Joel Coen,On top of Joel Coen.,True
Andrew Gower is underneath Craig Ferguson.,Where is Andrew Gower?,underneath Craig Ferguson,Underneath Craig Ferguson.,True
Richard Jenkins is left of Debra Wilson.,Where is Richard Jenkins?,left of Debra Wilson,Left of Debra Wilson.,True
Joanna Pettet is behind Halle Bailey.,Where is Joanna Pettet?,behind Halle Bailey,Behind Halle Bailey.,True
Fiona Shaw is behind Brittany Bristow.,Where is Fiona Shaw?,behind Brittany Bristow,Behind Brittany Bristow.,True
Lucas Neff is on top of Richard Dean Anderson.,Where is Lucas Neff?,on top of Richard Dean Anderson,On top of Richard Dean Anderson.,True
Dolly Parton is below Jack Champion.,Where is Dolly Parton?,below Jack Champion,Below Jack Champion.,True
Warren Christie is underneath Joan Chen.,Where is Warren Christie?,underneath Joan Chen,Underneath Joan Chen.,True
Steven Knight is above John Billingsley.,Where is Steven Knight?,above John Billingsley,Above John Billingsley.,True
Lucy DeVito is above Kevin Durand.,Where is Lucy DeVito?,above Kevin Durand,Above Kevin Durand.,True
Laura Harrier is right of Steven Williams.,Where is Laura Harrier?,right of Steven Williams,Right of Steven Williams.,True
Michael DeLuise is behind June Vincent.,Where is Michael DeLuise?,behind June Vincent,Behind June Vincent.,True
Paul Freeman is left of Kristin Bauer.,Where is Paul Freeman?,left of Kristin Bauer,Left of Kristin Bauer.,True
Caterina Scorsone is underneath Manny Montana.,Where is Caterina Scorsone?,underneath Manny Montana,Underneath Manny Montana.,True
Giulio Berruti is in front of Bel Powley.,Where is Giulio Berruti?,in front of Bel Powley,In front of Bel Powley.,True
Winston Duke is underneath Josh Groban.,Where is Winston Duke?,underneath Josh Groban,Underneath Josh Groban.,True
Steve Lund is right of Samantha Hanratty.,Where is Steve Lund?,right of Samantha Hanratty,Right of Samantha Hanratty.,True
Derek Webster is in front of Rhys Coiro.,Where is Derek Webster?,in front of Rhys Coiro,In front of Rhys Coiro.,True
Clara Galle is on top of Gaite Jansen.,Where is Clara Galle?,on top of Gaite Jansen,On top of Gaite Jansen.,True
Ana de Armas is above Michael Fassbender.,Where is Ana de Armas?,above Michael Fassbender,Above Michael Fassbender.,True
Stacey Farber is on top of Rob Huebel.,Where is Stacey Farber?,on top of Rob Huebel,On top of Rob Huebel.,True
Merrin Dungey is right of Yael Grobglas.,Where is Merrin Dungey?,right of Yael Grobglas,Right of Yael Grobglas.,True
Deirdre Lovejoy is below Kerris Dorsey.,Where is Deirdre Lovejoy?,below Kerris Dorsey,Below Kerris Dorsey.,True
Josh Stewart is behind Joan Blondell.,Where is Josh Stewart?,behind Joan Blondell,Behind Joan Blondell.,True
Bella Dayne is left of Andrew Gower.,Where is Bella Dayne?,left of Andrew Gower,Left of Andrew Gower.,True
Mamie Van Doren is left of Masiela Lusha.,Where is Mamie Van Doren?,left of Masiela Lusha,Left of Masiela Lusha.,True
Emily Osment is underneath Cynthia Addai-Robinson.,Where is Emily Osment?,underneath Cynthia Addai-Robinson,Underneath Cynthia Addai-Robinson.,True
Claudine Auger is right of Joey Lawrence.,Where is Claudine Auger?,right of Joey Lawrence,Right of Joey Lawrence.,True
Mike Vitar is below Jenna von Oÿ.,Where is Mike Vitar?,below Jenna von Oÿ,Below Jenna von Oÿ.,True
Amy Seimetz is below Ramsey.,Where is Amy Seimetz?,below Ramsey,Below Ramsey.,True
Julius Harris is right of Mariel Molino.,Where is Julius Harris?,right of Mariel Molino,Right of Mariel Molino.,True
Yael Grobglas is below Billy Bob Thornton.,Where is Yael Grobglas?,below Billy Bob Thornton,Below Billy Bob Thornton.,True
John Heard is left of Kate del Castillo.,Where is John Heard?,left of Kate del Castillo,Left of Kate del Castillo.,True
Alison Wright is behind Dave Chappelle.,Where is Alison Wright?,behind Dave Chappelle,Behind Dave Chappelle.,True
Robert Mitchum is above Vincent Kartheiser.,Where is Robert Mitchum?,above Vincent Kartheiser,Above Vincent Kartheiser.,True
Robert Guillaume is on top of Sam Worthington.,Where is Robert Guillaume?,on top of Sam Worthington,On top of Sam Worthington.,True
David Wenham is underneath Mel Ferrer.,Where is David Wenham?,underneath Mel Ferrer,Underneath Mel Ferrer.,True
Samantha Bond is on top of Zach McGowan.,Where is Samantha Bond?,on top of Zach McGowan,On top of Zach McGowan.,True
Elle Graham is below Brianne Howey.,Where is Elle Graham?,below Brianne Howey,Below Brianne Howey.,True
Grace Edwards is right of Nana Visitor.,Where is Grace Edwards?,right of Nana Visitor,Right of Nana Visitor.,True
Matthew Macfadyen is above Abby Ryder Fortson.,Where is Matthew Macfadyen?,above Abby Ryder Fortson,Above Abby Ryder Fortson.,True
Flula Borg is in front of Miyavi.,Where is Flula Borg?,in front of Miyavi,In front of Miyavi.,True
Kim Woo-bin is right of Bob Hoskins.,Where is Kim Woo-bin?,right of Bob Hoskins,Right of Bob Hoskins.,True
Bradley Gregg is below Nicole Andrews.,Where is Bradley Gregg?,below Nicole Andrews,Below Nicole Andrews.,True
Keean Johnson is in front of Michael Socha.,Where is Keean Johnson?,in front of Michael Socha,In front of Michael Socha.,True
George Clooney is right of Mary J. Blige.,Where is George Clooney?,right of Mary J. Blige,Right of Mary J. Blige.,True
Jason James Richter is right of Queen Latifah.,Where is Jason James Richter?,right of Queen Latifah,Right of Queen Latifah.,True
Lucas Grabeel is right of Steve Coogan.,Where is Lucas Grabeel?,right of Steve Coogan,Right of Steve Coogan.,True
Sofia Carson is above David Benioff.,Where is Sofia Carson?,above David Benioff,Above David Benioff.,True
Jennie Kim is on top of Lee Evans.,Where is Jennie Kim?,on top of Lee Evans,On top of Lee Evans.,True
Chuck Aspegren is in front of Susan Lynch.,Where is Chuck Aspegren?,in front of Susan Lynch,In front of Susan Lynch.,True
Burt Young is below John Laughlin.,Where is Burt Young?,below John Laughlin,Below John Laughlin.,True
Chelsea Peretti is underneath Karen Allen.,Where is Chelsea Peretti?,underneath Karen Allen,Underneath Karen Allen.,True
Halston Sage is above April Bowlby.,Where is Halston Sage?,above April Bowlby,Above April Bowlby.,True
Stormi Maya is above Neil Flynn.,Where is Stormi Maya?,above Neil Flynn,Above Neil Flynn.,True
Gary Dourdan is below Adele James.,Where is Gary Dourdan?,below Adele James,Below Adele James.,True
Hope Lange is below Tim McInnerny.,Where is Hope Lange?,below Tim McInnerny,Below Tim McInnerny.,True
Amelia Rose Blaire is above Catherine Hicks.,Where is Amelia Rose Blaire?,above Catherine Hicks,Above Catherine Hicks.,True
Bill Paterson is underneath Scott Wilson.,Where is Bill Paterson?,underneath Scott Wilson,Underneath Scott Wilson.,True
Aaron Staton is left of Julia Garner.,Where is Aaron Staton?,left of Julia Garner,Left of Julia Garner.,True
Laurie Metcalf is left of Hayley Mills.,Where is Laurie Metcalf?,left of Hayley Mills,Left of Hayley Mills.,True
Sonequa Martin-Green is behind Cress Williams.,Where is Sonequa Martin-Green?,behind Cress Williams,Behind Cress Williams.,True
Vondie Curtis-Hall is above Jake T. Austin.,Where is Vondie Curtis-Hall?,above Jake T. Austin,Above Jake T. Austin.,True
Chelan Simmons is behind Marsha Mason.,Where is Chelan Simmons?,behind Marsha Mason,Behind Marsha Mason.,True
Bryan Singer is left of Valter Skarsgård.,Where is Bryan Singer?,left of Valter Skarsgård,Left of Valter Skarsgård.,True
Jimmy Lydon is below Christopher Guest.,Where is Jimmy Lydon?,below Christopher Guest,Below Christopher Guest.,True
Bruce Willis is right of Nestor Serrano.,Where is Bruce Willis?,right of Nestor Serrano,Right of Nestor Serrano.,True
Ali Selim is above Amanda Wyss.,Where is Ali Selim?,above Amanda Wyss,Above Amanda Wyss.,True
Roger Deakins is in front of Isiah Whitlock Jr..,Where is Roger Deakins?,in front of Isiah Whitlock Jr.,In front of Isiah Whitlock Jr.,True
Jon Bernthal is above Jason Beghe.,Where is Jon Bernthal?,above Jason Beghe,Above Jason Beghe.,True
Enuka Okuma is in front of Luke Kleintank.,Where is Enuka Okuma?,in front of Luke Kleintank,In front of Luke Kleintank.,True
Jayne Brook is underneath Jason Dohring.,Where is Jayne Brook?,underneath Jason Dohring,Underneath Jason Dohring.,True
Geraldine Viswanathan is underneath Millicent Martin.,Where is Geraldine Viswanathan?,underneath Millicent Martin,Underneath Millicent Martin.,True
Christopher Backus is above Meadow Williams.,Where is Christopher Backus?,above Meadow Williams,Above Meadow Williams.,True
Myha'la Herrold is underneath Stephen Dorff.,Where is Myha'la Herrold?,underneath Stephen Dorff,Underneath Stephen Dorff.,True
Kristanna Loken is below Ernie Hudson.,Where is Kristanna Loken?,below Ernie Hudson,Below Ernie Hudson.,True
Matthias Schoenaerts is behind Ben Smith-Petersen.,Where is Matthias Schoenaerts?,behind Ben Smith-Petersen,Behind Ben Smith-Petersen.,True
Antoinette Robertson is left of Kurt Russell.,Where is Antoinette Robertson?,left of Kurt Russell,Left of Kurt Russell.,True
Elizabeth Peña is above Claudia O'Doherty.,Where is Elizabeth Peña?,above Claudia O'Doherty,Above Claudia O'Doherty.,True
Mariami Kovziashvili is below Laura Haddock.,Where is Mariami Kovziashvili?,below Laura Haddock,Below Laura Haddock.,True
Marta Kovziashvili is behind Jamie Anne Allman.,Where is Marta Kovziashvili?,behind Jamie Anne Allman,Behind Jamie Anne Allman.,True
Sonoya Mizuno is in front of Helen McCrory.,Where is Sonoya Mizuno?,in front of Helen McCrory,In front of Helen McCrory.,True
Roger Deakins is underneath Natalie Burn.,Where is Roger Deakins?,underneath Natalie Burn,Underneath Natalie Burn.,True
Pernell Roberts is left of Bryan Cranston.,Where is Pernell Roberts?,left of Bryan Cranston,Left of Bryan Cranston.,True
Michael Rennie is on top of Zac Efron.,Where is Michael Rennie?,on top of Zac Efron,On top of Zac Efron.,True
Jon Glaser is in front of Ferdia Walsh-Peelo.,Where is Jon Glaser?,in front of Ferdia Walsh-Peelo,In front of Ferdia Walsh-Peelo.,True
M. Night Shyamalan is right of Sherilyn Fenn.,Where is M. Night Shyamalan?,right of Sherilyn Fenn,Right of Sherilyn Fenn.,True
Kerry Fox is underneath Joan Chen.,Where is Kerry Fox?,underneath Joan Chen,Underneath Joan Chen.,True
Gina Bellman is above Avaah Blackwell.,Where is Gina Bellman?,above Avaah Blackwell,Above Avaah Blackwell.,True
Simon Farnaby is above Kareena Kapoor.,Where is Simon Farnaby?,above Kareena Kapoor,Above Kareena Kapoor.,True
Ellie Kendrick is below Fivel Stewart.,Where is Ellie Kendrick?,below Fivel Stewart,Below Fivel Stewart.,True
Justin Theroux is right of Holly Austin.,Where is Justin Theroux?,right of Holly Austin,Right of Holly Austin.,True
Ben Chaplin is behind Kayla Lorette.,Where is Ben Chaplin?,behind Kayla Lorette,Behind Kayla Lorette.,True
Joseph Kosinski is in front of Oliver Savell.,Where is Joseph Kosinski?,in front of Oliver Savell,In front of Oliver Savell.,True
Rutina Wesley is in front of Zoë Kravitz.,Where is Rutina Wesley?,in front of Zoë Kravitz,In front of Zoë Kravitz.,True
Eric Shea is on top of Martin Freeman.,Where is Eric Shea?,on top of Martin Freeman,On top of Martin Freeman.,True
Amie Donald is left of Colton Ryan.,Where is Amie Donald?,left of Colton Ryan,Left of Colton Ryan.,True
Spencer Tracy is left of Wolfgang Petersen.,Where is Spencer Tracy?,left of Wolfgang Petersen,Left of Wolfgang Petersen.,True
Marisa Pavan is above Jim Broadbent.,Where is Marisa Pavan?,above Jim Broadbent,Above Jim Broadbent.,True
Felix Mallard is left of Rhea Perlman.,Where is Felix Mallard?,left of Rhea Perlman,Left of Rhea Perlman.,True
Chris Young is left of Tadanobu Asano.,Where is Chris Young?,left of Tadanobu Asano,Left of Tadanobu Asano.,True
Shannon Purser is below Brooke Bundy.,Where is Shannon Purser?,below Brooke Bundy,Below Brooke Bundy.,True
Ben Starr is behind Anne Meara.,Where is Ben Starr?,behind Anne Meara,Behind Anne Meara.,True
Genesis Rodriguez is above Mary McDonnell.,Where is Genesis Rodriguez?,above Mary McDonnell,Above Mary McDonnell.,True
Lisa LoCicero is right of Mrunal Thakur.,Where is Lisa LoCicero?,right of Mrunal Thakur,Right of Mrunal Thakur.,True
Floriana Lima is right of Tracy Spiridakos.,Where is Floriana Lima?,right of Tracy Spiridakos,Right of Tracy Spiridakos.,True
